입력,증상
앞다리가 부어오름,앞다리 부종
앞다리에 뭐가 났어요,앞다리 부종
앞다리에 부종이 있어요,앞다리 부종
앞다리에 부종이 있습니다,앞다리 부종
앞다리에 부종이 있음,앞다리 부종
앞다리에 부종이 생김,앞다리 부종
경련을 일으켜요,발작
경련발작을 해요,발작
경련을 일으킴,발작
경련발작,발작
발작을 함,발작
발작 함,발작
발작을 해요,발작
발작을 했어요,발작
발작을 합니다,발작
발작을 했습니다,발작
코피가 나요,코피
코피가 남,코피
코피를 흘림,코피
코피를 흘려요,코피
코피가 흘렀어요,코피
코에 피가 나요,코피
코피가 났어요,코피
차에서 멀미를 해요,멀미
차멀미,멀미
차멀미를 하는거 같아요,멀미
차멀미를 해요,멀미
콧물이 나요,콧물
콧물이 많이 남,콧물
콧물이 많음,콧물
콧물이 흘러요,콧물
코에 부종이 생김,코 부종
코에 부종이 생겼어요,코 부종
코에 뾰루지가 남,코 부종
코에 뭐가 생겼어요,코 부종
코에 부종,코 부종
코에 뭐가 생김,코 부종
코에 뭐가 났어요,코 부종
숨을 헐떡여요,헐떡임
숨을 헐떡임,헐떡임
숨을 헐떡거림,헐떡임
호흡 곤란,헐떡임
호흡곤란,헐떡임
헐떡여요,헐떡임
헐떡거려요,헐떡임
담에 걸린거 같아요,담
담에 걸린거 같음,담
담 걸린거 같아요,담
담 걸린거 같음,담
호흡이 빨라요,과 호흡
호흡이 많이 빨라요,과 호흡
호흡이 과해요,과 호흡
과호흡을 해요,과 호흡
과한 호흡,과 호흡
과호흡,과 호흡
거품토,건조한 구토
거품토를 함,건조한 구토
거품토를 해요,건조한 구토
털이 많이 빠져요,탈모증
털이 많이 빠짐,탈모증
털이 많이 빠졌어요,탈모증
탈모인거 같아요,탈모증
탈모 증상 같아요,탈모증
탈모 증상,탈모증
습진이 있어요,"피부염 또는 습진, 지정되지 않은"
습진이 생겼어요,"피부염 또는 습진, 지정되지 않은"
피부 붉은점,"피부염 또는 습진, 지정되지 않은"
피부 염증,"피부염 또는 습진, 지정되지 않은"
피부염,"피부염 또는 습진, 지정되지 않은"
습진이 있음,"피부염 또는 습진, 지정되지 않은"
피부에 부종이 생김,피부 또는 연조직 부종
피부에 부종이 생겼어요,피부 또는 연조직 부종
피부에 뾰루지가 남,피부 또는 연조직 부종
피부에 뭐가 생겼어요,피부 또는 연조직 부종
피부에 부종,피부 또는 연조직 부종
피부에 뾰루지,피부 또는 연조직 부종
피부에 뭐가 생김,피부 또는 연조직 부종
피부에 뭐가 났어요,피부 또는 연조직 부종
눈이 뿌옇게 변했어요,백내장
눈이 백색이에요,백내장
눈이 흐려요,백내장
눈이 뿌옇게 변함,백내장
눈동자가 뿌옇게 변했어요,백내장
눈동자가 뿌옇게 변함,백내장
눈이 백색,백내장
눈동자 백색,백내장
눈동자가 백색이에요,백내장
눈 긁음,결막염
눈을 긁음,결막염
눈을 긁힘,결막염
눈을 긁혔어요,결막염
눈 가려움,결막염
눈을 긁어요,결막염
눈 주변이 빨갛게 변함,다래끼
눈에 뭐가 났어요,다래끼
눈이 부었어요,다래끼
눈에 다래끼가 났어요,다래끼
눈에 다래끼,다래끼
눈에 다래끼가 생김,다래끼
눈이 빨감,다래끼
식욕부진,식욕 부진
식욕이 없어요,식욕 부진
식욕이 없음,식욕 부진
밥을 안먹어요,식욕 부진
밥을 안먹음,식욕 부진
밥을 안먹으려 함,식욕 부진
밥을 안먹으려 해요,식욕 부진
식욕을 잃음,식욕 부진
벌침에 쏘였어요,꿀벌의 침
벌에 쏘였어요,꿀벌의 침
벌에 쏘임,꿀벌의 침
벌침에 쏘임,꿀벌의 침
대변을 먹음,식분증
대변을 핥음,식분증
변을 핥음,식분증
변을 먹어요,식분증
열이 남,열
열이 나요,열
열이 납니다,열
발열,열
온도가 높음,고열
몸이 뜨거워요,고열
몸이 뜨거움,고열
고열인거 같아요,고열
체온이 높음,고열
피를 흘림,출혈
출혈이 있어요,출혈
피가 나요,출혈
피가 남,출혈
출혈이 있음,출혈
피를 흘려요,출혈
무기력증,무기력
기운이 없음,무기력
기력이 없음,무기력
기력이 없어요,무기력
기운이 없어보여요,무기력
기운이 없습니다,무기력
기운이 없어요,무기력
근육이 굳으면서 경련을 일으켜요,근육 강직성 경련
근육이 굳고 경련을 일으켜요,근육 강직성 경련
근육이 굳고 경련을 일으킴,근육 강직성 경련
근육이 굳고 발작을 함,근육 강직성 경련
근육이 굳고 발작을 일으킴,근육 강직성 경련
근육이 굳고 발작을 해요,근육 강직성 경련
근육 강직성 경련을 일으켜요,근육 강직성 경련
방광결석,방광염
방광 결석,방광염
요로결석,요석증
요로 결석,요석증
피부 발진,"홍반, 가려움증, 지정되지 않은"
피부발진,"홍반, 가려움증, 지정되지 않은"
심장사상충 3기,심장베이스 종양
심장 사상충 3기,심장베이스 종양
심장사상충 4기,심장베이스 종양
심장 사상충 4기,심장베이스 종양
낑낑거려요,"통증, 불특정"
낑낑거림,"통증, 불특정"
다리 통증,"통증, 불특정"
다리통증,"통증, 불특정"
뒷다리 통증,"통증, 불특정"
앞다리 통증,"통증, 불특정"
여드름,구진
땀띠,구진
비립종,구진
사마귀,구진
물사마귀,구진
혈괴,비정형 생식기 출혈
포피염,부종
생식기 부종,부종
성기 혹,부종
생식기 농,부종
성기에 혹이 생겼어요,부종
성기에 혹이 났어요,부종
성기에 혹이 남,부종
생식기에 혹이 생겼어요,부종
생식기에 혹이 났어요,부종
생식기에 혹이 남,부종
생식기에 뭐가 생겼어요,부종
생식기에 뭐가 났어요,부종
소변 결석,부종
생식기에 뭐가 남,부종
피부 종양,농피증
혹,농피증
피부에 상처,상처
눈 옆 뾰루지,궤도의 이물질
눈 위쪽 뾰루지,궤도의 이물질
눈 아래쪽 뾰루지,궤도의 이물질
눈 안쪽 검은색,궤도의 이물질
잇몸 검은 점,치과 치료
안구 출혈,안검염
다리 뾰루지,덩어리
뾰루지,덩어리
피부 종양,덩어리
피부종양,덩어리
피부 부종,덩어리
피지종,덩어리
물혹,덩어리
생리 후 출혈,질 출혈
생리 출혈,질 출혈
이개혈종,귀 혈종
지방종,셀룰라이트
유선주위 부어오름,유선염
유선 주위 부어오름,유선염
유선 주위 부풀어오름,유선염
유선주위 부풀어오름,유선염
