Breed,Age,Sex,Symptoms,ICD
푸들,3,M,심장 사상충 감염,특정 감염성 또는 기생충성 질병
달마티안,3,F,심장 사상충 감염,특정 감염성 또는 기생충성 질병
코커스패니얼,3,M,심장 사상충 감염,특정 감염성 또는 기생충성 질병
요크셔 테리어,3,M,심장 사상충 감염,특정 감염성 또는 기생충성 질병
말티즈,4,M,심장 사상충 감염,특정 감염성 또는 기생충성 질병
미니어처 핀셔,4,M,심장 사상충 감염,특정 감염성 또는 기생충성 질병
미니어처 핀셔,4,F,심장 사상충 감염,특정 감염성 또는 기생충성 질병
말티즈,4,M,심장 사상충 감염,특정 감염성 또는 기생충성 질병
닥스훈트,4,F,심장 사상충 감염,특정 감염성 또는 기생충성 질병
푸들,4,M,심장 사상충 감염,특정 감염성 또는 기생충성 질병
믹스,4,M,심장 사상충 감염,특정 감염성 또는 기생충성 질병
말티즈,4,M,심장 사상충 감염,특정 감염성 또는 기생충성 질병
말티즈,4,M,심장 사상충 감염,특정 감염성 또는 기생충성 질병
믹스,4,M,심장 사상충 감염,특정 감염성 또는 기생충성 질병
시베리안 허스키,5,F,심장 사상충 감염,특정 감염성 또는 기생충성 질병
진돗개,5,M,심장 사상충 감염,특정 감염성 또는 기생충성 질병
믹스,5,unknown,심장 사상충 감염,특정 감염성 또는 기생충성 질병
코커스패니얼,5,M,심장 사상충 감염,특정 감염성 또는 기생충성 질병
믹스,5,F,심장 사상충 감염,특정 감염성 또는 기생충성 질병
포메라니안,5,F,심장 사상충 감염,특정 감염성 또는 기생충성 질병
진돗개,6,M,심장 사상충 감염,특정 감염성 또는 기생충성 질병
진돗개,6,F,심장 사상충 감염,특정 감염성 또는 기생충성 질병
진돗개,7,F,심장 사상충 감염,특정 감염성 또는 기생충성 질병
믹스,7,M,심장 사상충 감염,특정 감염성 또는 기생충성 질병
아키타견,7,F,심장 사상충 감염,특정 감염성 또는 기생충성 질병
코커스패니얼,8,F,심장 사상충 감염,특정 감염성 또는 기생충성 질병
믹스,8,M,심장 사상충 감염,특정 감염성 또는 기생충성 질병
푸들,9,F,심장 사상충 감염,특정 감염성 또는 기생충성 질병
진돗개,3,M,심장 사상충 감염,특정 감염성 또는 기생충성 질병
푸들,5,F,심장 사상충 감염,특정 감염성 또는 기생충성 질병
삽살개,5,F,심장 사상충 감염,특정 감염성 또는 기생충성 질병
미니어처 핀셔,9,F,심장 사상충 감염,특정 감염성 또는 기생충성 질병
비숑 프리제,0,M,파보 바이러스 감염,특정 감염성 또는 기생충성 질병
닥스훈트,0,F,파보 바이러스 감염,특정 감염성 또는 기생충성 질병
보스턴 테리어,1,F,파보 바이러스 감염,특정 감염성 또는 기생충성 질병
프렌치 불독,1,M,파보 바이러스 감염,특정 감염성 또는 기생충성 질병
진돗개,1,M,파보 바이러스 감염,특정 감염성 또는 기생충성 질병
푸들,1,F,파보 바이러스 감염,특정 감염성 또는 기생충성 질병
포메라니안,1,M,파보 바이러스 감염,특정 감염성 또는 기생충성 질병
믹스,1,F,파보 바이러스 감염,특정 감염성 또는 기생충성 질병
말티즈,1,M,파보 바이러스 감염,특정 감염성 또는 기생충성 질병
포메라니안,1,M,파보 바이러스 감염,특정 감염성 또는 기생충성 질병
믹스,1,F,파보 바이러스 감염,특정 감염성 또는 기생충성 질병
푸들,1,M,파보 바이러스 감염,특정 감염성 또는 기생충성 질병
푸들,1,M,파보 바이러스 감염,특정 감염성 또는 기생충성 질병
푸들,1,M,파보 바이러스 감염,특정 감염성 또는 기생충성 질병
푸들,1,M,파보 바이러스 감염,특정 감염성 또는 기생충성 질병
믹스,1,F,파보 바이러스 감염,특정 감염성 또는 기생충성 질병
믹스,1,M,파보 바이러스 감염,특정 감염성 또는 기생충성 질병
닥스훈트,1,M,파보 바이러스 감염,특정 감염성 또는 기생충성 질병
믹스,1,M,파보 바이러스 감염,특정 감염성 또는 기생충성 질병
포메라니안,1,M,파보 바이러스 감염,특정 감염성 또는 기생충성 질병
진돗개,1,M,파보 바이러스 감염,특정 감염성 또는 기생충성 질병
삽살개,1,F,파보 바이러스 감염,특정 감염성 또는 기생충성 질병
진돗개,1,M,파보 바이러스 감염,특정 감염성 또는 기생충성 질병
진돗개,1,M,파보 바이러스 감염,특정 감염성 또는 기생충성 질병
치와와,1,M,파보 바이러스 감염,특정 감염성 또는 기생충성 질병
미니어처 핀셔,1,F,파보 바이러스 감염,특정 감염성 또는 기생충성 질병
진돗개,1,M,파보 바이러스 감염,특정 감염성 또는 기생충성 질병
믹스,1,M,파보 바이러스 감염,특정 감염성 또는 기생충성 질병
믹스,1,M,파보 바이러스 감염,특정 감염성 또는 기생충성 질병
진돗개,1,F,파보 바이러스 감염,특정 감염성 또는 기생충성 질병
스피츠,1,F,파보 바이러스 감염,특정 감염성 또는 기생충성 질병
진돗개,1,M,파보 바이러스 감염,특정 감염성 또는 기생충성 질병
풍산개,1,M,파보 바이러스 감염,특정 감염성 또는 기생충성 질병
믹스,1,F,파보 바이러스 감염,특정 감염성 또는 기생충성 질병
삽살개,1,M,파보 바이러스 감염,특정 감염성 또는 기생충성 질병
삽살개,1,F,파보 바이러스 감염,특정 감염성 또는 기생충성 질병
푸들,1,M,파보 바이러스 감염,특정 감염성 또는 기생충성 질병
페키니즈,2,F,파보 바이러스 감염,특정 감염성 또는 기생충성 질병
시베리안 라이카,2,M,파보 바이러스 감염,특정 감염성 또는 기생충성 질병
삽살개,2,M,파보 바이러스 감염,특정 감염성 또는 기생충성 질병
믹스,2,F,파보 바이러스 감염,특정 감염성 또는 기생충성 질병
믹스,3,M,파보 바이러스 감염,특정 감염성 또는 기생충성 질병
래브라도 리트리버,2,M,패혈증,특정 감염성 또는 기생충성 질병
비숑 프리제,3,F,패혈증,특정 감염성 또는 기생충성 질병
요크셔 테리어,17,M,전신 염증 반응 증후군,특정 감염성 또는 기생충성 질병
말티즈,12,M,치과 치료,치과 질환
말티즈,12,M,치과 치료,치과 질환
요크셔 테리어,12,M,치과 치료,치과 질환
요크셔 테리어,14,M,치과 치료,치과 질환
말티즈,16,M,치과 치료,치과 질환
푸들,2,M,치과 치료,치과 질환
포메라니안,4,M,치과 치료,치과 질환
말티즈,6,M,치과 치료,치과 질환
슈나우저,7,M,치과 치료,치과 질환
말티즈,9,M,치과 치료,치과 질환
말티즈,4,M,구취,치과 질환
푸들,10,M,치은염,치과 질환
푸들,10,M,치은염,치과 질환
포메라니안,10,F,치은염,치과 질환
시추,10,M,치은염,치과 질환
시추,10,M,치은염,치과 질환
요크셔 테리어,10,M,치은염,치과 질환
요크셔 테리어,11,M,치은염,치과 질환
요크셔 테리어,11,M,치은염,치과 질환
믹스,11,M,치은염,치과 질환
시추,11,F,치은염,치과 질환
미니어처 핀셔,11,M,치은염,치과 질환
믹스,11,F,치은염,치과 질환
포메라니안,11,F,치은염,치과 질환
요크셔 테리어,12,M,치은염,치과 질환
말티즈,12,F,치은염,치과 질환
푸들,12,M,치은염,치과 질환
코커스패니얼,12,M,치은염,치과 질환
미니어처 핀셔,12,F,치은염,치과 질환
요크셔 테리어,12,M,치은염,치과 질환
요크셔 테리어,12,F,치은염,치과 질환
말티즈,12,M,치은염,치과 질환
코커스패니얼,13,M,치은염,치과 질환
믹스,13,M,치은염,치과 질환
페키니즈,13,M,치은염,치과 질환
말티즈,13,F,치은염,치과 질환
시추,13,M,치은염,치과 질환
말티즈,13,F,치은염,치과 질환
말티즈,13,M,치은염,치과 질환
알래스카 말라뮤트,13,M,치은염,치과 질환
말티즈,14,M,치은염,치과 질환
말티즈,14,M,치은염,치과 질환
미니어처 핀셔,14,M,치은염,치과 질환
믹스,14,M,치은염,치과 질환
시베리안 허스키,14,M,치은염,치과 질환
말티즈,15,M,치은염,치과 질환
믹스,15,M,치은염,치과 질환
푸들,15,M,치은염,치과 질환
시추,16,M,치은염,치과 질환
믹스,19,M,치은염,치과 질환
치와와,1,M,치은염,치과 질환
말티즈,1,M,치은염,치과 질환
포메라니안,2,F,치은염,치과 질환
푸들,2,M,치은염,치과 질환
말티즈,2,M,치은염,치과 질환
시추,2,M,치은염,치과 질환
푸들,2,M,치은염,치과 질환
푸들,2,M,치은염,치과 질환
말티즈,2,M,치은염,치과 질환
말티즈,2,M,치은염,치과 질환
푸들,2,M,치은염,치과 질환
푸들,3,F,치은염,치과 질환
푸들,3,M,치은염,치과 질환
말티즈,3,F,치은염,치과 질환
말티즈,3,F,치은염,치과 질환
푸들,3,M,치은염,치과 질환
말티즈,3,M,치은염,치과 질환
요크셔 테리어,3,F,치은염,치과 질환
푸들,3,M,치은염,치과 질환
믹스,3,M,치은염,치과 질환
말티즈,3,F,치은염,치과 질환
푸들,3,F,치은염,치과 질환
푸들,3,F,치은염,치과 질환
포메라니안,3,M,치은염,치과 질환
시추,3,M,치은염,치과 질환
푸들,4,M,치은염,치과 질환
말티즈,4,M,치은염,치과 질환
요크셔 테리어,4,M,치은염,치과 질환
시추,4,M,치은염,치과 질환
비숑 프리제,4,M,치은염,치과 질환
요크셔 테리어,4,M,치은염,치과 질환
스피츠,4,M,치은염,치과 질환
말티즈,4,M,치은염,치과 질환
포메라니안,4,M,치은염,치과 질환
시추,4,M,치은염,치과 질환
코커스패니얼,4,M,치은염,치과 질환
요크셔 테리어,4,M,치은염,치과 질환
푸들,4,M,치은염,치과 질환
말티즈,5,M,치은염,치과 질환
스피츠,5,F,치은염,치과 질환
푸들,5,F,치은염,치과 질환
요크셔 테리어,5,M,치은염,치과 질환
말티즈,5,M,치은염,치과 질환
말티즈,5,M,치은염,치과 질환
포메라니안,5,M,치은염,치과 질환
요크셔 테리어,5,M,치은염,치과 질환
말티즈,5,M,치은염,치과 질환
포메라니안,5,M,치은염,치과 질환
포메라니안,5,M,치은염,치과 질환
말티즈,5,M,치은염,치과 질환
믹스,6,M,치은염,치과 질환
시추,6,M,치은염,치과 질환
올드 잉글리시 쉽독,6,M,치은염,치과 질환
말티즈,6,M,치은염,치과 질환
포메라니안,6,M,치은염,치과 질환
말티즈,6,F,치은염,치과 질환
말티즈,6,M,치은염,치과 질환
말티즈,6,M,치은염,치과 질환
믹스,6,M,치은염,치과 질환
말티즈,6,M,치은염,치과 질환
푸들,6,M,치은염,치과 질환
요크셔 테리어,6,M,치은염,치과 질환
포메라니안,6,M,치은염,치과 질환
말티즈,6,F,치은염,치과 질환
말티즈,6,M,치은염,치과 질환
포메라니안,6,F,치은염,치과 질환
코커스패니얼,6,M,치은염,치과 질환
말티즈,7,M,치은염,치과 질환
말티즈,7,M,치은염,치과 질환
말티즈,7,M,치은염,치과 질환
믹스,7,M,치은염,치과 질환
푸들,7,M,치은염,치과 질환
스피츠,7,M,치은염,치과 질환
푸들,7,M,치은염,치과 질환
요크셔 테리어,7,F,치은염,치과 질환
페키니즈,7,M,치은염,치과 질환
말티즈,7,M,치은염,치과 질환
믹스,7,F,치은염,치과 질환
말티즈,7,M,치은염,치과 질환
요크셔 테리어,7,F,치은염,치과 질환
말티즈,7,M,치은염,치과 질환
말티즈,8,M,치은염,치과 질환
말티즈,8,M,치은염,치과 질환
코커스패니얼,8,M,치은염,치과 질환
푸들,8,M,치은염,치과 질환
말티즈,8,M,치은염,치과 질환
푸들,8,M,치은염,치과 질환
스피츠,8,F,치은염,치과 질환
요크셔 테리어,8,M,치은염,치과 질환
말티즈,8,F,치은염,치과 질환
요크셔 테리어,8,M,치은염,치과 질환
말티즈,8,M,치은염,치과 질환
요크셔 테리어,8,M,치은염,치과 질환
요크셔 테리어,8,M,치은염,치과 질환
시추,8,M,치은염,치과 질환
시추,8,M,치은염,치과 질환
말티즈,8,0,치은염,치과 질환
말티즈,9,M,치은염,치과 질환
말티즈,9,M,치은염,치과 질환
포메라니안,9,M,치은염,치과 질환
포메라니안,9,M,치은염,치과 질환
믹스,9,M,치은염,치과 질환
요크셔 테리어,9,M,치은염,치과 질환
요크셔 테리어,9,M,치은염,치과 질환
요크셔 테리어,9,M,치은염,치과 질환
말티즈,9,M,치은염,치과 질환
말티즈,9,M,치은염,치과 질환
푸들,9,M,치은염,치과 질환
말티즈,9,M,치은염,치과 질환
말티즈,9,M,치은염,치과 질환
포메라니안,9,M,치은염,치과 질환
말티즈,9,M,치은염,치과 질환
요크셔 테리어,9,M,치은염,치과 질환
믹스,12,M,치은염,치과 질환
퍼그,14,M,치은염,치과 질환
닥스훈트,14,M,치은염,치과 질환
요크셔 테리어,14,M,치은염,치과 질환
코커스패니얼,15,M,치은염,치과 질환
시추,16,M,치은염,치과 질환
포메라니안,2,M,치은염,치과 질환
요크셔 테리어,2,M,치은염,치과 질환
포메라니안,2,M,치은염,치과 질환
치와와,3,M,치은염,치과 질환
말티즈,3,M,치은염,치과 질환
말티즈,3,M,치은염,치과 질환
보스턴 테리어,4,M,치은염,치과 질환
믹스,4,M,치은염,치과 질환
푸들,4,M,치은염,치과 질환
요크셔 테리어,4,M,치은염,치과 질환
말티즈,4,F,치은염,치과 질환
푸들,4,M,치은염,치과 질환
푸들,4,M,치은염,치과 질환
말티즈,5,M,치은염,치과 질환
닥스훈트,6,M,치은염,치과 질환
요크셔 테리어,6,M,치은염,치과 질환
말티즈,6,M,치은염,치과 질환
믹스,7,M,치은염,치과 질환
스피츠,7,M,치은염,치과 질환
말티즈,8,M,치은염,치과 질환
페키니즈,9,M,치은염,치과 질환
요크셔 테리어,10,M,치은염,치과 질환
말티즈,10,F,치은염,치과 질환
푸들,10,F,치은염,치과 질환
푸들,10,M,치은염,치과 질환
푸들,11,M,치은염,치과 질환
요크셔 테리어,11,F,치은염,치과 질환
요크셔 테리어,12,M,치은염,치과 질환
코커스패니얼,15,M,치은염,치과 질환
말티즈,10,F,치주 질환,치과 질환
말티즈,11,F,치주 질환,치과 질환
시추,11,M,치주 질환,치과 질환
말티즈,11,M,치주 질환,치과 질환
말티즈,12,F,치주 질환,치과 질환
말티즈,15,M,치주 질환,치과 질환
믹스,1,M,치주 질환,치과 질환
꼬동 드 툴레아,1,F,치주 질환,치과 질환
웰시코기,1,M,치주 질환,치과 질환
말티즈,1,M,치주 질환,치과 질환
요크셔 테리어,2,M,치주 질환,치과 질환
포메라니안,3,M,치주 질환,치과 질환
말티즈,3,M,치주 질환,치과 질환
포메라니안,4,F,치주 질환,치과 질환
치와와,4,M,치주 질환,치과 질환
푸들,5,M,치주 질환,치과 질환
시추,6,M,치주 질환,치과 질환
말티즈,6,M,치주 질환,치과 질환
말티즈,7,M,치주 질환,치과 질환
포메라니안,7,0,치주 질환,치과 질환
믹스,7,M,치주 질환,치과 질환
요크셔 테리어,7,M,치주 질환,치과 질환
말티즈,8,M,치주 질환,치과 질환
코커스패니얼,8,M,치주 질환,치과 질환
요크셔 테리어,9,M,치주 질환,치과 질환
말티즈,9,M,치주 질환,치과 질환
믹스,9,F,치주 질환,치과 질환
라사 압소,9,F,치주 질환,치과 질환
포메라니안,11,M,발치,치과 질환
푸들,14,M,발치,치과 질환
요크셔 테리어,14,M,발치,치과 질환
요크셔 테리어,14,M,발치,치과 질환
말티즈,15,M,발치,치과 질환
말티즈,1,M,발치,치과 질환
프렌치 불독,1,M,발치,치과 질환
포메라니안,1,M,발치,치과 질환
포메라니안,1,F,발치,치과 질환
요크셔 테리어,1,M,발치,치과 질환
포메라니안,1,M,발치,치과 질환
비숑 프리제,1,F,발치,치과 질환
말티즈,1,M,발치,치과 질환
포메라니안,1,M,발치,치과 질환
말티즈,1,F,발치,치과 질환
푸들,1,M,발치,치과 질환
말티즈,1,M,발치,치과 질환
요크셔 테리어,1,M,발치,치과 질환
푸들,1,F,발치,치과 질환
치와와,1,M,발치,치과 질환
포메라니안,1,M,발치,치과 질환
말티즈,1,F,발치,치과 질환
말티즈,1,F,발치,치과 질환
푸들,1,F,발치,치과 질환
말티즈,1,F,발치,치과 질환
말티즈,1,M,발치,치과 질환
포메라니안,1,M,발치,치과 질환
치와와,1,M,발치,치과 질환
포메라니안,1,F,발치,치과 질환
말티즈,1,F,발치,치과 질환
말티즈,1,M,발치,치과 질환
푸들,2,M,발치,치과 질환
믹스,2,M,발치,치과 질환
포메라니안,2,M,발치,치과 질환
말티즈,2,M,발치,치과 질환
포메라니안,2,M,발치,치과 질환
믹스,2,F,발치,치과 질환
비숑 프리제,2,M,발치,치과 질환
치와와,2,F,발치,치과 질환
푸들,2,M,발치,치과 질환
포메라니안,2,M,발치,치과 질환
말티즈,2,F,발치,치과 질환
요크셔 테리어,2,M,발치,치과 질환
요크셔 테리어,2,M,발치,치과 질환
웰시코기,2,F,발치,치과 질환
말티즈,2,M,발치,치과 질환
요크셔 테리어,2,M,발치,치과 질환
푸들,2,M,발치,치과 질환
말티즈,2,M,발치,치과 질환
푸들,2,M,발치,치과 질환
보스턴 테리어,2,M,발치,치과 질환
말티즈,2,F,발치,치과 질환
포메라니안,2,F,발치,치과 질환
푸들,2,M,발치,치과 질환
말티즈,2,F,발치,치과 질환
말티즈,2,M,발치,치과 질환
말티즈,2,M,발치,치과 질환
믹스,2,M,발치,치과 질환
말티즈,2,F,발치,치과 질환
말티즈,2,F,발치,치과 질환
푸들,2,M,발치,치과 질환
포메라니안,3,M,발치,치과 질환
푸들,3,M,발치,치과 질환
푸들,3,M,발치,치과 질환
요크셔 테리어,3,F,발치,치과 질환
치와와,3,M,발치,치과 질환
말티즈,3,F,발치,치과 질환
비숑 프리제,3,M,발치,치과 질환
포메라니안,3,M,발치,치과 질환
말티즈,4,F,발치,치과 질환
말티즈,4,F,발치,치과 질환
말티즈,4,F,발치,치과 질환
말티즈,5,M,발치,치과 질환
믹스,6,F,발치,치과 질환
말티즈,7,M,발치,치과 질환
말티즈,7,F,발치,치과 질환
말티즈,8,F,발치,치과 질환
말티즈,9,M,발치,치과 질환
비숑 프리제,1,M,발치,치과 질환
치와와,1,M,발치,치과 질환
포메라니안,1,M,발치,치과 질환
포메라니안,1,M,발치,치과 질환
푸들,1,M,발치,치과 질환
푸들,1,M,발치,치과 질환
비숑 프리제,1,F,발치,치과 질환
치와와,1,F,발치,치과 질환
포메라니안,1,M,발치,치과 질환
푸들,1,M,발치,치과 질환
푸들,1,M,발치,치과 질환
푸들,1,unknown,발치,치과 질환
말티즈,2,M,발치,치과 질환
말티즈,2,M,발치,치과 질환
페키니즈,2,M,발치,치과 질환
푸들,2,M,발치,치과 질환
포메라니안,2,F,발치,치과 질환
웰시코기,2,F,발치,치과 질환
포메라니안,2,M,발치,치과 질환
슈나우저,2,M,발치,치과 질환
요크셔 테리어,2,M,발치,치과 질환
말티즈,3,F,발치,치과 질환
믹스,6,F,발치,치과 질환
말티즈,8,F,발치,치과 질환
말티즈,9,M,발치,치과 질환
말티즈,9,M,발치,치과 질환
믹스,9,M,발치,치과 질환
시추,10,M,발치,치과 질환
요크셔 테리어,14,M,발치,치과 질환
코커스패니얼,12,M,치아 골절,치과 질환
아메리칸 핏불 테리어,1,F,치아 골절,치과 질환
말티즈,2,M,치아 골절,치과 질환
닥스훈트,2,M,치아 골절,치과 질환
코커스패니얼,4,M,치아 골절,치과 질환
포메라니안,7,F,치아 골절,치과 질환
말티즈,11,M,치아 골절,치과 질환
진돗개,9,M,발달 이상,발달 이상(기형)
포메라니안,0,F,동맥관 개존증,발달 이상(기형)
포메라니안,1,M,동맥관 개존증,발달 이상(기형)
말티즈,1,F,동맥관 개존증,발달 이상(기형)
말티즈,1,M,동맥관 개존증,발달 이상(기형)
말티즈,1,F,동맥관 개존증,발달 이상(기형)
말티즈,1,F,동맥관 개존증,발달 이상(기형)
말티즈,1,M,동맥관 개존증,발달 이상(기형)
말티즈,2,M,문맥전신단락,발달 이상(기형)
믹스,2,M,기형,발달 이상(기형)
말티즈,10,M,빈혈,혈액 또는 혈액 형성 기관의 질병
말티즈,14,M,빈혈,혈액 또는 혈액 형성 기관의 질병
비숑 프리제,1,F,빈혈,혈액 또는 혈액 형성 기관의 질병
포메라니안,2,M,빈혈,혈액 또는 혈액 형성 기관의 질병
페키니즈,7,F,빈혈,혈액 또는 혈액 형성 기관의 질병
치와와,7,F,빈혈,혈액 또는 혈액 형성 기관의 질병
말티즈,9,M,빈혈,혈액 또는 혈액 형성 기관의 질병
포메라니안,1,F,저칼슘혈증,혈액 또는 혈액 형성 기관의 질병
푸들,3,M,저칼슘혈증,혈액 또는 혈액 형성 기관의 질병
말티즈,9,M,피멍,혈액 또는 혈액 형성 기관의 질병
코커스패니얼,13,M,혈소판 감소증,혈액 또는 혈액 형성 기관의 질병
포메라니안,9,F,혈소판 감소증,혈액 또는 혈액 형성 기관의 질병
말티즈,9,M,혈소판 감소증,혈액 또는 혈액 형성 기관의 질병
차우차우,2,F,빈혈,혈액 또는 혈액 형성 기관의 질병
닥스훈트,9,M,적혈구 증가증,혈액 또는 혈액 형성 기관의 질병
말티즈,9,M,백혈구 증가증,혈액 또는 혈액 형성 기관의 질병
포메라니안,2,M,저혈량증,혈액 또는 혈액 형성 기관의 질병
말티즈,5,M,혈관성부종,순환계의 질병
코커스패니얼,14,F,부정맥,순환계의 질병
포메라니안,15,M,고혈압,순환계의 질병
믹스,18,M,고혈압,순환계의 질병
