입력,증상
머리에 출혈,머리 외상
머리에 출혈이 있어요,머리 외상
머리에서 피가 나요,머리 외상
차멀미,멀미
차멀미를 해요,멀미
차멀미를 하는거 같아요,멀미
차에서 멀미를 해요,멀미
기운이 없어요,무기력
무기력증,무기력
기운이 없습니다,무기력
기운이 없음,무기력
기력이 없어요,무기력
기운이 없어보여요,무기력
기력이 없음,무기력
기운이 없어요,무기력
피부 붉은점,반점
피부에 반점,반점
반점이 크게 생겼어요,반점
반점이 생겼어요,반점
반점이 생김,반점
반점이 크게 생김,반점
선천적으로 발달 이상이 있어요,발달 이상
발달 이상이 있음,발달 이상
발달 이상이 있어요,발달 이상
열이 납니다,발열
열이 남,발열
열이 나요,발열
발작 함,발작
경련발작,발작
발작을 했어요,발작
발작을 했습니다,발작
경련발작을 해요,발작
경련을 일으켜요,발작
경련을 일으킴,발작
발작을 해요,발작
발작을 합니다,발작
발작을 함,발작
소변을 잘 못 봄,배뇨 곤란
배뇨 관련 증상,배뇨 곤란
배뇨 곤란이 있어요,배뇨 곤란
배뇨장애,배뇨 곤란
배뇨 곤란이 있음,배뇨 곤란
배뇨 장애,배뇨 곤란
소변을 잘 못 봐요,배뇨 곤란
소변을 잘 못 봄,배뇨 곤란
소변을 잘 못 눠요,배뇨 곤란
배뇨곤란이 있음,배뇨 곤란
배뇨관련 증상,배뇨 곤란
배뇨곤란,배뇨 곤란
배뇨곤란이 있어요,배뇨 곤란
눈이 백색,백내장
눈동자 백색,백내장
눈동자가 백색이에요,백내장
눈동자가 뿌옇게 변했어요,백내장
눈동자가 뿌옇게 변함,백내장
눈이 뿌옇게 변함,백내장
눈이 흐려요,백내장
눈이 백색이에요,백내장
눈이 뿌옇게 변했어요,백내장
변비 증상,변비
변비가 있어요,변비
변비가 있음,변비
배에서 소리가 들려요,복명음
배에서 가스소리가 들려요,복명음
배에서 물 소리가 들려요,복명음
걸을때 배에서 소리가 나요,복명음
배에서 소리가 나요,복명음
배에서 소리가 남,복명음
배에서 꾸르륵 소리,복명음
배에서 지속적으로 소리,복명음
배가 아파 보임,복부 통증
배가 아픔,복부 통증
복부가 아픔,복부 통증
배를 아파해요,복부 통증
복부를 아파해요,복부 통증
배가 아파 보여요,복부 통증
복부에 통증이 있는듯,복부 통증
배에 통증,복부 통증
배가 아파 보임,복부 통증
배 통증,복부 통증
배통증,복부 통증
복부통증,복부 통증
복부가 볼록해요,복부 팽창
복부가 부풀어 오름,복부 팽창
복부팽만,복부 팽창
복부 팽만,복부 팽창
복부가 부풀어 올랐어요,복부 팽창
배가 볼록해요,복부 팽창
배가 부풀어 오름,복부 팽창
배가 부풀어 올랐어요,복부 팽창
배가 부었어요,복부 팽창
배 빵빵,복부 팽창
배가 빵빵해요,복부 팽창
배가 빵빵함,복부 팽창
배에 혹이 났어요,복부 혹
배에 뭐가 났어요,복부 혹
배에 혹이 남,복부 혹
배에 뭐가 만져져요,복부 혹
배에 몽우리가 생겼어요,복부 혹
배에 몽우리가 생김,복부 혹
배에 몽우리가 짐,복부 혹
배에 혹이 생겼어요,복부 혹
배에 혹이 생김,복부 혹
배에 물이찬거 같아요,복수
배에 물이 찬거 같아요,복수
배에 물이 찬거 같음,복수
배에 물이 참,복수
배에 물참,복수
부정맥을 진단받음,부정맥
부정맥을 진단받았어요,부정맥
부정맥이 있음,부정맥
부정맥이 있어요,부정맥
빈뇨가 심해요,빈뇨
쉬를 자주 싸요,빈뇨
오줌을 자주 싸요,빈뇨
소변을 자주 봐요,빈뇨
소변횟수가 증가,빈뇨
소변을 많이 봐요,빈뇨
빈혈이 있음,빈혈
빈혈기가 있음,빈혈
빈혈기,빈혈
빈혈이 있어요,빈혈
피부에 뾰루지가 남,뾰루지
피부에 뾰루지,뾰루지
다리 뾰루지,뾰루지
뾰루지가 났어요,뾰루지
뾰루지가 남,뾰루지
뾰루지가 생겼어요,뾰루지
뾰루지가 생김,뾰루지
상상임신을 하는거같아요,상상임신
발정이 났어요,상상임신
마운팅을 해요,상상임신
상상임신을 한거같아요,상상임신
상상임신을 함,상상임신
상상 임신,상상임신
생리 출혈,생리 후 출혈
생리가 끝났는데 피가 계속 나요,생리 후 출혈
생리가 끝났는데 피가 나요,생리 후 출혈
생식기 부종,생식기 부종
성기 혹,생식기 부종
생식기 농,생식기 부종
성기에 혹이 생겼어요,생식기 부종
성기에 혹이 났어요,생식기 부종
성기에 혹이 남,생식기 부종
생식기에 혹이 생겼어요,생식기 부종
생식기에 혹이 났어요,생식기 부종
생식기에 혹이 남,생식기 부종
생식기에 뭐가 생겼어요,생식기 부종
생식기에 뭐가 났어요,생식기 부종
생식기에 뭐가 남,생식기 부종
생식기가 이상해요,생식기 장애
생식기가 이상함,생식기 장애
생식기 모양이 이상함,생식기 장애
생식기를 긁어요,생식기 장애
생식기를 가려워해요,생식기 장애
생식기를 핥아요,생식기 장애
생식기를 핥음,생식기 장애
생식기를 긁음,생식기 장애
생식기 가려움,생식기 장애
생식기 가려움증,생식기 장애
강아지가 빙빙 돌아요,선회 증상
강아지가 빙빙 돔,선회 증상
강아지가 돌아요,선회 증상
강아지가 돔,선회 증상
빙빙 돌아요,선회 증상
빙빙 돔,선회 증상
설사를 함,설사
변이 묽어요,설사
묽은 변,설사
점액변,설사
설사를 해요,설사
무른변을 봐요,설사
설사를 함,설사
무른변을 봄,설사
설사를 했어요,설사
설사를 했음,설사
무른변을 봤음,설사
무른변을 봤어요,설사
소변에 이물질,소변 내 이물질
소변 불순물,소변 내 이물질
소변에 불순물이 섞여있어요,소변 내 이물질
혈괴,소변 내 이물질
소변 결석,소변 내 이물질
습진이 있음,습진
습진이 있어요,습진
습진이 생겼어요,습진
습진이 생김,습진
습진이 있어요,습진
습진이 생겼어요,습진
습진이 있음,습진
대변을 먹음,식분증
대변을 핥음,식분증
변을 핥음,식분증
변을 먹어요,식분증
식욕부진,식욕 상실
식욕이 없어요,식욕 상실
식욕이 없음,식욕 상실
밥을 안먹어요,식욕 상실
밥을 안먹음,식욕 상실
밥을 안먹으려 함,식욕 상실
밥을 안먹으려 해요,식욕 상실
식욕을 잃음,식욕 상실
심장이 빨리 뛰어요,심박수 급증
심장이 너무 빨리 뛰어요,심박수 급증
심장 소리가 빨라요,심박수 급증
심장 소리가 빠름,심박수 급증
심박수가 급증했어요,심박수 급증
심박수가 높아졌어요,심박수 급증
심박수가 너무 높아요,심박수 급증
심장사상충 3기,심장베이스 종양
심장 사상충 3기,심장베이스 종양
심장사상충 4기,심장베이스 종양
심장 사상충 4기,심장베이스 종양
아토피가 있어요,아토피
아토피가 생겼어요,아토피
아토피가 있음,아토피
아토피가 생김,아토피
눈에 뭐가 들어갔어요,안구 내 이물질
눈에 뭐가 들어감,안구 내 이물질
눈에 이물질이 들어감,안구 내 이물질
눈에 이물질이 들어갔어요,안구 내 이물질
눈에 이물질이 있어요,안구 내 이물질
눈 이물질,안구 내 이물질
눈에 이물질,안구 내 이물질
눈 주변이 빨갛게 변함,안와 질병
눈에 뭐가 났어요,안와 질병
눈이 부었어요,안와 질병
눈이 빨감,안와 질병
눈이 빨개요,안와 질병
눈이 충혈됐어요,안와 질병
눈이 충혈됨,안와 질병
앞다리가 부어오름,앞다리 부종
앞다리에 뭐가 났어요,앞다리 부종
앞다리에 부종이 있어요,앞다리 부종
앞다리에 부종이 있습니다,앞다리 부종
앞다리에 부종이 있음,앞다리 부종
앞다리에 부종이 생김,앞다리 부종
요로결석,요석증
요로 결석,요석증
오줌을 흘려요,요실금
배뇨실금,요실금
오줌을 찔끔찔끔 지림,요실금
운동을 안하려해요,운동 거부
운동을 하려하지 않아요,운동 거부
운동을 싫어해요,운동 거부
운동을 거부해요,운동 거부
운동을 거부함,운동 거부
유선주위 부어오름,유선염
유선 주위 부어오름,유선염
유선 주위 부풀어오름,유선염
유선주위 부풀어오름,유선염
초콜릿을 먹었어요,이물질 섭취
초콜릿을 먹었음,이물질 섭취
초콜릿을 삼켰음,이물질 섭취
이물질을 먹었어요,이물질 섭취
이물질을 섭취,이물질 섭취
이물질을 섭취함,이물질 섭취
이물질을 먹음,이물질 섭취
이물질을 삼킴,이물질 섭취
이물질을 삼켰어요,이물질 섭취
이상한걸 먹었어요,이물질 섭취
이상한걸 삼켰어요,이물질 섭취
이상한걸 삼킴,이물질 섭취
이상한걸 먹음,이물질 섭취
혈당수치가 낮아요,저혈당
혈당이 낮아요,저혈당
혈당이 낮음,저혈당
혈당수치가 낮음,저혈당
혈당 수치가 낮음,저혈당
혈당 수치가 낮아요,저혈당
걸을 때 문제가 있어요,절름발이
다리를 절어요,절름발이
걸음걸이가 이상해요,절름발이
기생충에 물렸어요,체외 기생충
기생충에 물림,체외 기생충
기생충,체외 기생충
몸무게가 많이 줄었어요,체중 감량
몸무게가 줄었어요,체중 감량
살이 많이 빠졌어요,체중 감량
살이 많이 빠짐,체중 감량
몸무게 감소,체중 감량
피를 흘림,출혈
출혈이 있어요,출혈
피가 나요,출혈
피가 남,출혈
출혈이 있음,출혈
피를 흘려요,출혈
잇몸 검은 점,치과 질환
이가 부러졌어요,치아 골절
이빨이 부러졌어요,치아 골절
이빨이 부러짐,치아 골절
치아가 부러짐,치아 골절
치아가 부러졌어요,치아 골절
이빨 골절,치아 골절
코에 부종이 생김,코 부종
코에 부종이 생겼어요,코 부종
코에 뾰루지가 남,코 부종
코에 뭐가 생겼어요,코 부종
코에 부종,코 부종
코에 뭐가 생김,코 부종
코에 뭐가 났어요,코 부종
코를 아파해요,코 통증
코를 아파함,코 통증
코에 통증,코 통증
코에 통증을 느낌,코 통증
코를 심하게 골아요,코골이
코를 크게 골아요,코골이
코골이가 심해요,코골이
코골이가 심함,코골이
코골이가 있어요,코골이
코골이가 있음,코골이
코로나인거 같아요,코로나바이러스 감염
코로나인 것 같아요,코로나바이러스 감염
코로나에 걸림,코로나바이러스 감염
코로나에 걸렸어요,코로나바이러스 감염
코에 뭐가 들어갔어요,코막힘
코에 이물질,코막힘
코가 막힘,코막힘
코가 막혔어요,코막힘
코에 뭐가 들어감,코막힘
코에 뭐가 박힘,코막힘
코에 뭐가 박혔어요,코막힘
코막힘이 있어요,코막힘
코피가 나요,코피
코피가 남,코피
코피를 흘림,코피
코피를 흘려요,코피
코피가 흘렀어요,코피
코에 피가 나요,코피
코피가 났어요,코피
코피를 보여요,코피
콧물이 나요,콧물
콧물이 많이 남,콧물
콧물이 많음,콧물
콧물이 흘러요,콧물
콧물을 보여요,콧물
콧물을 보임,콧물
털이 많이 빠져요,탈모증
털이 많이 빠짐,탈모증
털이 많이 빠졌어요,탈모증
탈모인거 같아요,탈모증
탈모 증상 같아요,탈모증
탈모 증상,탈모증
아파해요,통증
아파함,통증
몸 곳곳에 피멍,피멍
몸에 피멍이 많아요,피멍
온몸에 피멍,피멍
피부가 건조해요,피부 갈라짐
피부가 건조함,피부 갈라짐
피부가 갈라졌어요,피부 갈라짐
피부가 갈라짐,피부 갈라짐
피부가 갈라져요,피부 갈라짐
피부가 긁혔어요,피부 상처
피부가 긁힘,피부 상처
피부에 흉이짐,피부 상처
피부에 흉짐,피부 상처
피부에 흉터가 생겼어요,피부 상처
피부에 흉터가 졌어요,피부 상처
피부 흉터,피부 상처
피부에 딱지,피부 상처
피부에 딱지가 짐,피부 상처
피부에 상처,피부 상처
피부에 지방종이 생겼어요,피부 종양
피부에 몽우리가 졌어요,피부 종양
피부에 몽우리가 생겼어요,피부 종양
피부에 몽우리가 생김,피부 종양
피부에 몽우리가 짐,피부 종양
지방종,피부 종양
피부에 부종이 생김,피부 종양
피부에 부종이 생겼어요,피부 종양
피부에 뭐가 생겼어요,피부 종양
피부에 부종,피부 종양
피부종양,피부 종양
피부 부종,피부 종양
지방종,피부 종양
혹이 생김,피부 혹
혹이 남,피부 혹
혹이 생겼어요,피부 혹
혹이 났어요,피부 혹
혹,피부 혹
피부에 뭐가 생김,피부 혹
피부에 뭐가 났어요,피부 혹
혹,피부 혹
물혹,피부 혹
피부 염증,피부염
항문에서 피가 나와요,항문 출혈
항문에서 피가 흘러요,항문 출혈
항문에서 피가 나왔어요,항문 출혈
항문에서 피가 흘렀어요,항문 출혈
항문 출혈이 있음,항문 출혈
항문에서 피가 나옴,항문 출혈
항문에서 피가 나왔음,항문 출혈
항문에 피가 남,항문 출혈
항문에 피가 나요,항문 출혈
항문에서 피가 나요,항문 출혈
항문에서 피가 남,항문 출혈
숨을 헐떡여요,헐떡임
숨을 헐떡임,헐떡임
숨을 헐떡거림,헐떡임
호흡 곤란,헐떡임
호흡곤란,헐떡임
헐떡여요,헐떡임
헐떡거려요,헐떡임
헤드프레싱,헤드 프레싱
벽에 머리를 눌러요,헤드 프레싱
벽에 머리를 비빔,헤드 프레싱
벽에 머리를 누름,헤드 프레싱
벽에 머리를 비벼요,헤드 프레싱
벽에 머리를 박아요,헤드 프레싱
헤드 프레스,헤드 프레싱
헤드프레스,헤드 프레싱
혈뇨를 합니다,혈뇨
혈뇨를 함,혈뇨
혈뇨를 했음,혈뇨
혈뇨를 해요,혈뇨
소변에 피가 있어요,혈뇨
혈뇨를 했어요,혈뇨
혈뇨증상이 있어요,혈뇨
소변에서 피가 나와요,혈뇨
대변에 피가 섞였어요,혈변
대변에서 피가 나와요,혈변
대변에서  피가 보여요,혈변
대변에서 피가 나왔어요,혈변
대변에 피가 섞여서 나왔어요,혈변
혈변을 봤어요,혈변
혈변을 했어요,혈변
혈변을 해요,혈변
혈변을 함,혈변
혈변이 나왔어요,혈변
혈변이 나옴,혈변
혈변을 보임,혈변
혈변을 보였어요,혈변
혈변을 누었어요,혈변
혈변을 눔,혈변
혈변을 누었음,혈변
숨쉬기를 힘들어해요,호흡기 고통
피부 발진,홍반
피부발진,홍반
대변을 먹어요,식분증
대변을 먹었어요,식분증
몸에 혹이 생겼어요,피부 혹
몸에 혹이 났어요,피부 혹
몸에 혹이 남,피부 혹
몸에 혹이 생김,피부 혹
식욕이 떨어졌어요,식욕 상실
식욕이 떨어짐,식욕 상실
머리를 자꾸 떨어요,머리 떨림
호흡에 문제가 있어요,과 호흡
호흡에 문제가 있음,과 호흡
배뇨를 힘들어해요,배뇨 곤란
배변을 힘들어해요,배뇨 곤란
배뇨를 힘들어함,배뇨 곤란
배변을 힘들어함,배뇨 곤란
켁켁거려요,호흡기 고통
켁켁거림,호흡기 고통
코골이를 해요,코골이
코골이를 함,코골이
코를 골아요,코골이
힘들게 숨을 쉬어요,호흡기 고통
힘들게 숨을 쉼,호흡기 고통
숨이 가빠요,심박수 급증
움직임에 문제가 있어요,다리 통증
움직임에 문제가 있음,다리 통증
귀에 문제가 있어요,귀 가려움증
귀에 문제가 있음,귀 가려움증
눈에 문제가 있어요,눈 가려움
눈에 문제가 있음,눈 가려움
재채기를 해요,기침 과다
재채기를 함,기침 과다
피부에 문제가 있어요,피부 상처
피부에 문제가 있음,피부 상처
